Publisher ID,Event ID,Sex,Age Group,Social Grade,Date,Complete,VID
1,1,M,18_34,ABC1,04/03/2021,1,1000077
1,2,M,18_34,ABC1,04/03/2021,1,1000650
1,3,M,18_34,ABC1,04/03/2021,1,1000694
1,4,M,18_34,ABC1,04/03/2021,1,1000759
1,5,M,18_34,ABC1,04/03/2021,1,1000840
1,6,M,18_34,ABC1,04/03/2021,1,1000997
1,7,M,18_34,ABC1,04/03/2021,1,1001028
1,8,M,18_34,ABC1,04/03/2021,1,1001096
1,9,M,18_34,ABC1,04/03/2021,1,1001099
1,10,M,18_34,ABC1,04/03/2021,1,1001289
1,11,M,18_34,ABC1,04/03/2021,1,1001672
1,12,M,18_34,ABC1,04/03/2021,1,1001876
1,13,M,18_34,ABC1,04/03/2021,1,1001898
1,14,M,18_34,ABC1,04/03/2021,1,1002227
1,15,M,18_34,ABC1,04/03/2021,1,1002348
1,16,M,18_34,ABC1,04/03/2021,1,1002405
1,17,M,18_34,ABC1,04/03/2021,1,1002411
1,18,M,18_34,ABC1,04/03/2021,1,1002608
1,19,M,18_34,ABC1,04/03/2021,1,1002716
1,20,M,18_34,ABC1,04/03/2021,1,1002756
1,21,M,18_34,ABC1,04/03/2021,1,1002856
1,22,M,18_34,ABC1,04/03/2021,1,1002886
1,23,M,18_34,ABC1,04/03/2021,1,1003104
1,24,M,18_34,ABC1,04/03/2021,1,1003153
1,25,M,18_34,ABC1,04/03/2021,1,1003253
1,26,M,18_34,ABC1,04/03/2021,1,1003378
1,27,M,18_34,ABC1,04/03/2021,1,1003466
1,28,M,18_34,ABC1,04/03/2021,1,1003527
1,29,M,18_34,ABC1,04/03/2021,1,1003788
1,30,M,18_34,ABC1,04/03/2021,1,1003857
1,31,M,18_34,ABC1,04/03/2021,1,1003941
1,32,M,18_34,ABC1,04/03/2021,1,1003962
1,33,M,18_34,ABC1,05/03/2021,1,1000658
1,34,M,18_34,ABC1,05/03/2021,1,1000659
1,35,M,18_34,ABC1,05/03/2021,1,1000668
1,36,M,18_34,ABC1,05/03/2021,1,1000769
1,37,M,18_34,ABC1,05/03/2021,1,1000946
1,38,M,18_34,ABC1,05/03/2021,1,1000970
1,39,M,18_34,ABC1,05/03/2021,1,1001007
1,40,M,18_34,ABC1,05/03/2021,1,1001168
1,41,M,18_34,ABC1,05/03/2021,1,1001268
1,42,M,18_34,ABC1,05/03/2021,1,1001277
1,43,M,18_34,ABC1,05/03/2021,1,1001501
1,44,M,18_34,ABC1,05/03/2021,1,1001609
1,45,M,18_34,ABC1,05/03/2021,1,1001744
